movieId,title,genres,rating
1,Toy Story (1995),Animation|Children|Comedy,4.5
2,Jumanji (1995),Adventure|Children|Fantasy,4.0
3,Grumpier Old Men (1995),Comedy|Romance,3.5
4,Waiting to Exhale (1995),Comedy|Drama,3.0
5,Father of the Bride Part II (1995),Comedy,4.0
6,Heat (1995),Action|Crime|Thriller,4.5
7,Sabrina (1995),Comedy|Romance,3.5
8,Tom and Huck (1995),Adventure|Children,3.0
9,Sudden Death (1995),Action,4.0
10,GoldenEye (1995),Action|Adventure|Thriller,4.5
11,American President (1995),Comedy|Drama|Romance,4.0
12,Dracula: Dead and Loving It (1995),Comedy|Horror,3.0
13,Balto (1995),Animation|Children,3.5
14,Nixon (1995),Drama,4.0
15,Cutthroat Island (1995),Action|Adventure|Romance,3.5
16,Casino (1995),Crime|Drama,4.5
17,Sense and Sensibility (1995),Drama|Romance,4.0
18,Four Rooms (1995),Comedy,3.5
19,Ace Ventura: When Nature Calls (1995),Comedy,4.0
20,Money Train (1995),Action|Comedy|Crime,3.5
21,Get Shorty (1995),Comedy|Crime|Thriller,4.0
22,Copycat (1995),Crime|Drama|Thriller,3.5
23,Assassins (1995),Action|Thriller,4.0
24,Powder (1995),Drama|Sci-Fi,3.5
25,Leaving Las Vegas (1995),Drama|Romance,4.5
26,Othello (1995),Drama,3.5
27,Now and Then (1995),Children|Drama,3.0
28,Persuasion (1995),Drama|Romance,4.0
29,City of Lost Children (1995),Adventure|Fantasy|Sci-Fi,3.5
30,Shanghai Triad (1995),Crime|Drama,4.0
31,Dangerous Minds (1995),Drama,3.5
32,Twelve Monkeys (1995),Sci-Fi|Thriller,4.5
33,Babe (1995),Children|Comedy|Drama,4.0
34,Dead Man Walking (1995),Drama,4.5
35,Richard III (1995),Drama|War,3.5
36,Restoration (1995),Drama|Romance,3.0
37,Seven (1995),Crime|Thriller|Mystery,4.5
38,Pocahontas (1995),Animation|Children|Romance,4.0
39,When Night Is Falling (1995),Drama|Romance,3.5
40,Usual Suspects (1995),Crime|Mystery|Thriller,4.5
41,Guardian Angel (1994),Action|Drama|Thriller,3.5
42,Wonderful, Horrible Life of Leni Riefenstahl (1993),Documentary,3.0
43,Shawshank Redemption (1994),Crime|Drama,5.0
44,Pulp Fiction (1994),Crime|Drama,4.5
45,Forrest Gump (1994),Comedy|Drama|Romance,5.0
46,The Lion King (1994),Animation|Children|Musical,4.5
47,Dumb & Dumber (1994),Comedy,4.0
48,Speed (1994),Action|Thriller,4.0
49,True Lies (1994),Action|Comedy|Thriller,3.5
50,Stargate (1994),Action|Adventure|Sci-Fi,4.0
51,The Matrix (1999),Action|Sci-Fi|Thriller,4.5
52,Fight Club (1999),Drama|Thriller,4.5
53,The Sixth Sense (1999),Drama|Mystery|Thriller,4.0
54,American Beauty (1999),Drama,4.5
55,The Green Mile (1999),Crime|Drama|Fantasy,4.5
56,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Sci-Fi,4.0
57,Notting Hill (1999),Comedy|Romance,4.0
58,The Blair Witch Project (1999),Horror|Mystery,3.5
59,The Iron Giant (1999),Animation|Adventure|Children,4.0
60,Galaxy Quest (1999),Adventure|Comedy|Sci-Fi,4.0
